Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Document ChEMBL ID,Smiles (RDKit Mol)
CHEMBL3910422,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)cc3OC)ncc2Br)c1,IC50,'=',65.0,nM,CHEMBL3886183,
CHEMBL3954273,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)c(OC)c3OC)ncc2Br)c1,IC50,'=',65.0,nM,CHEMBL3886183,
CHEMBL3956465,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)c(OC)c3OC)ncc2C(F)(F)F)c1,IC50,'=',20.0,nM,CHEMBL3886183,
CHEMBL3919271,C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OC)c3OC)ncc2Cl)c1,IC50,'=',650.0,nM,CHEMBL3886183,
CHEMBL3938358,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)cc3OC)ncc2Cl)c1,IC50,'=',200.0,nM,CHEMBL3886183,
CHEMBL3954684,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)cc3OC)ncc2C(F)(F)F)c1,IC50,'=',20.0,nM,CHEMBL3886183,
CHEMBL3891187,C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OC)c3OC)ncc2C(F)(F)F)c1,IC50,'=',200.0,nM,CHEMBL3886183,
CHEMBL3954906,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3OC)ncc2Br)c1,IC50,'=',200.0,nM,CHEMBL3886183,
CHEMBL3903707,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3OC)ncc2Cl)c1,IC50,'=',650.0,nM,CHEMBL3886183,
CHEMBL3903641,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3OC)ncc2C(F)(F)F)c1,IC50,'=',200.0,nM,CHEMBL3886183,
CHEMBL3986363,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)c(OC)c3OC)ncc2Cl)c1,IC50,'=',65.0,nM,CHEMBL3886183,
CHEMBL4851795,O=C(COc1ccc(Nc2ncc(Cl)c(Nc3ccccc3C(=O)NO)n2)cc1)NO,IC50,'=',65.41,nM,CHEMBL4831496,
CHEMBL3973190,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(NC(C)C)cc3OC)ncc2C(F)(F)F)c1,IC50,'<',1.0,nM,CHEMBL3886832,
CHEMBL3962343,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(NC(C)C)cc3OC)ncc2Cl)c1,IC50,'=',5.0,nM,CHEMBL3886832,
CHEMBL4520341,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(Nc3ccccc3P(C)(C)=O)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',12.0,nM,CHEMBL4382192,
CHEMBL4558227,C=CC(=O)Nc1cc(Nc2ncc(F)c(Nc3ccccc3P(C)(C)=O)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',5.0,nM,CHEMBL4382192,
CHEMBL4540442,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3S(=O)(=O)N(C)C)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',4.0,nM,CHEMBL4382192,
CHEMBL4473365,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',2.0,nM,CHEMBL4382192,
CHEMBL4449391,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)N(C)C)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',2.0,nM,CHEMBL4382192,
CHEMBL4565984,C=CC(=O)Nc1cc(Nc2ncc(F)c(Nc3ccccc3S(=O)(=O)N(C)C)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',3.0,nM,CHEMBL4382192,
CHEMBL4448107,C=CC(=O)Nc1cc(Nc2ncc(F)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',2.0,nM,CHEMBL4382192,
CHEMBL4581316,C=CC(=O)Nc1cc(Nc2ncc(I)c(Nc3ccccc3P(C)(C)=O)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',2.0,nM,CHEMBL4382192,
CHEMBL4516287,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',26.0,nM,CHEMBL4382192,
CHEMBL4531697,C=CC(=O)Nc1cc(Nc2ncc(I)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',9.0,nM,CHEMBL4382192,
CHEMBL4465103,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3P(C)(C)=O)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',5.0,nM,CHEMBL4382192,
CHEMBL4467561,C=CC(=O)Nc1cc(Nc2ncc(I)c(Nc3ccccc3S(=O)(=O)N(C)C)n2)c(OC)cc1N(C)CCN(C)C,IC50,'=',5.0,nM,CHEMBL4382192,
CHEMBL1947046,COc1ccccc1Nc1ccnc(Nc2ccccc2OC)n1,IC50,'>',100000.0,nM,CHEMBL1944545,
CHEMBL1947045,COc1cccc(Nc2ccnc(Nc3cccc(OC)c3)n2)c1,IC50,'=',36100.0,nM,CHEMBL1944545,
CHEMBL4251213,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCC(=O)NCC(=O)O)cc3)ncc2Cl)c1,IC50,'>',100.0,nM,CHEMBL4229440,
CHEMBL4247474,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCC(=O)NC(C)C(=O)OC)cc3)ncc2Cl)c1,IC50,'>',100.0,nM,CHEMBL4229440,
CHEMBL4247870,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCC(=O)NCC(=O)OC)cc3)ncc2Cl)c1,IC50,'>',100.0,nM,CHEMBL4229440,
CHEMBL4533742,CCC(=O)Nc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC)cc1N(C)CCN(C)C,EC50,'=',666.0,nM,CHEMBL4382192,
CHEMBL3928176,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccccc3OC)ncc2F)c1,IC50,'=',200.0,nM,CHEMBL3886183,
CHEMBL3975588,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccccc3OC)ncc2Cl)c1,IC50,'=',650.0,nM,CHEMBL3886183,
CHEMBL3913778,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(OC)cc3OC)ncc2Cl)c1,IC50,'=',200.0,nM,CHEMBL3886183,
CHEMBL3947802,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(OC)cc3OC)ncc2C(F)(F)F)c1,IC50,'=',200.0,nM,CHEMBL3886183,
CHEMBL3985134,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(OC)c(OC)c3OC)ncc2C(F)(F)F)c1,IC50,'=',65.0,nM,CHEMBL3886183,
CHEMBL3973862,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(OC)c(OC)c3OC)ncc2Br)c1,IC50,'=',65.0,nM,CHEMBL3886183,
CHEMBL3904778,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(OC)cc3OC)ncc2Br)c1,IC50,'=',65.0,nM,CHEMBL3886183,
CHEMBL3978161,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccccc3OC)ncc2C(F)(F)F)c1,IC50,'=',200.0,nM,CHEMBL3886183,
CHEMBL3944027,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(OC)c(OC)c3OC)ncc2Cl)c1,IC50,'=',20.0,nM,CHEMBL3886183,
CHEMBL3930810,C=CC(=O)Nc1cccc(Oc2nc(Nc3cccc(OC)c3OC)ncc2C(F)(F)F)c1,IC50,'>',1000.0,nM,CHEMBL3886183,
CHEMBL3894076,C=CC(=O)Nc1cccc(Oc2nc(Nc3cccc(OC)c3OC)ncc2Br)c1,IC50,'=',650.0,nM,CHEMBL3886183,
