Molecule ChEMBL ID,Standard Type,Standard Relation,Standard Value,Standard Units,Smiles,Smiles (RDKit Mol),Document ChEMBL ID
CHEMBL4290812_synthetic_inactive,IC50,'=',58174.72681082088,nM,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N1CCN(C)CC1, ,
CHEMBL4282688_synthetic_inactive,IC50,'=',36574.62715246911,nM,C=C=CC(=O)Nc1cc(Cc2ccc(OC)c(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, ,
CHEMBL4279057_synthetic_inactive,IC50,'=',55869.32656221005,nM,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N1CCC(N(C)C)C1, ,
CHEMBL4293126_synthetic_inactive,IC50,'=',34442.69825094959,nM,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OCC)cc1N(C)CCN(C)C, ,
CHEMBL4277911_synthetic_inactive,IC50,'=',47780.61553956049,nM,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(CC)CCN(C)C, ,
CHEMBL4287141_synthetic_inactive,IC50,'=',93626.2710827144,nM,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4cc(F)ccc34)c2)c(OC)cc1N(C)CCN(C)C, ,
CHEMBL4290568_synthetic_inactive,IC50,'=',60936.703089740295,nM,C=C=CC(=O)Nc1cc(Cc2ccc(C)c(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, ,
CHEMBL4288246_synthetic_inactive,IC50,'=',67092.06408434385,nM,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(C)CCN1CCOCC1, ,
CHEMBL4286318_synthetic_inactive,IC50,'=',92827.32152731082,nM,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, ,
CHEMBL4289490_synthetic_inactive,IC50,'=',67436.16131081976,nM,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4cc(Cl)ccc34)c2)c(OC)cc1N(C)CCN(C)C, ,
CHEMBL4557772_synthetic_inactive,IC50,'=',97939.32696499908,nM,C=C(F)C(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, ,
CHEMBL4464589_synthetic_inactive,IC50,'=',29222.65664432723,nM,CCC/C=C\C(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccc(F)cc34)c2)c(OC)cc1N(C)CCN(C)C, ,
CHEMBL4548960_synthetic_inactive,IC50,'=',15455.04005616599,nM,CCC/C=C\C(=O)Nc1cc(Cc2cc(C)cc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, ,
CHEMBL4439632_synthetic_inactive,IC50,'=',72111.93668824123,nM,C=C(Cl)C(=O)Nc1cc(Cc2cc(C)cc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, ,
CHEMBL4445797_synthetic_inactive,IC50,'=',57301.4390889286,nM,CC/C=C\C(=O)Nc1cc(Cc2ccc(C#N)c(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, ,
CHEMBL4444312_synthetic_inactive,IC50,'=',95227.76065562456,nM,CCC/C=C\C(=O)Nc1cc(Cc2cc3c(c(-c4cn(C)c5ccccc45)c2)CS(=O)(=O)CC3)c(OC)cc1N(C)CCN(C)C, ,
CHEMBL4460320_synthetic_inactive,IC50,'=',64990.59962904792,nM,CC/C=C\C(=O)Nc1cc(Cc2cc(C)cc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, ,
CHEMBL4463634_synthetic_inactive,IC50,'=',58643.57110466135,nM,C=C(Cl)C(=O)Nc1cc(Cc2ccc(C#N)c(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, ,
CHEMBL4471845_synthetic_inactive,IC50,'=',71113.41770235833,nM,C=C(Cl)C(=O)Nc1cc(Cc2cc3c(c(-c4cn(C)c5ccccc45)c2)CSCC3)c(OC)cc1N(C)CCN(C)C, ,
CHEMBL4441933_synthetic_inactive,IC50,'=',61479.86369837462,nM,C=C(Cl)C(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, ,
CHEMBL4553685_synthetic_inactive,IC50,'=',57997.027161442806,nM,CCC/C=C\C(=O)Nc1cc(Cc2ccc(C#N)c(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, ,
CHEMBL4434924_synthetic_inactive,IC50,'=',57214.47449667488,nM,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Cc1cc(C)cc(-c2cn(C)c3ccccc23)c1, ,
CHEMBL4451986_synthetic_inactive,IC50,'=',85572.39301988266,nM,C/C=C\C(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, ,
CHEMBL5175316_synthetic_inactive,IC50,'=',43993.91757355442,nM,COc1ccc(C(=O)Nc2cc(Cc3cccc(-c4cn(C)c5ccccc45)c3)c(OC)cc2N(C)CCN(C)C)nc1, ,
CHEMBL5191292_synthetic_inactive,IC50,'=',26401.3151224684,nM,COc1cc(N(C)CCN(C)C)c(NC(=O)c2ccncc2OC)cc1Cc1cccc(-c2cn(C)c3ccccc23)c1, ,
CHEMBL5196254_synthetic_inactive,IC50,'=',44981.43291717251,nM,COc1cc(N(C)CCN(C)C)c(NC(=O)c2nccn2C)cc1Cc1cccc(-c2cn(C)c3ccccc23)c1, ,
CHEMBL4468034_synthetic_inactive,IC50,'=',62728.13803268845,nM,CC/C=C\C(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, ,
CHEMBL4470120_synthetic_inactive,IC50,'=',89064.58391190386,nM,CCC/C=C\C(=O)Nc1cc(Cc2ccc(C#N)c(-c3cn(C)c4ccc(F)cc34)c2)c(OC)cc1N(C)CCN(C)C, ,
CHEMBL4583858_synthetic_inactive,IC50,'=',40508.99109972656,nM,CCC/C=C\C(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, ,
CHEMBL4527702_synthetic_inactive,IC50,'=',71717.028896518,nM,COc1cc(N(C)CCN(C)C)c(NC(=O)C=C(C)C)cc1Cc1cccc(-c2cn(C)c3ccccc23)c1, ,
CHEMBL4452628_synthetic_inactive,IC50,'=',32771.36894498707,nM,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Cc1ccc(C#N)c(-c2cn(C)c3ccccc23)c1, ,
CHEMBL4535047_synthetic_inactive,IC50,'=',94136.16470313192,nM,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Cc1ccc(C#N)c(-c2cn(C)c3ccc(F)cc23)c1, ,
CHEMBL5203821_synthetic_inactive,IC50,'=',32290.211599861475,nM,COc1cc(N(C)CCN(C)C)c(NC(=O)c2cccnc2)cc1Cc1cccc(-c2cn(C)c3ccccc23)c1, ,
CHEMBL4472983_synthetic_inactive,IC50,'=',47042.56191835581,nM,CC/C=C\C(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccc(F)cc34)c2)c(OC)cc1N(C)CCN(C)C, ,
CHEMBL5174232_synthetic_inactive,IC50,'=',62163.68302117292,nM,COc1cc(N(C)CCN(C)C)c(NC(=O)c2ccncc2)cc1Cc1cccc(-c2cn(C)c3ccccc23)c1, ,
CHEMBL4438905_synthetic_inactive,IC50,'=',50223.827071812215,nM,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Cc1cccc(-c2cn(C)c3ccccc23)c1, ,
CHEMBL5185772_synthetic_inactive,IC50,'=',52679.08986612864,nM,COc1cc(N(C)CCN(C)C)c(NC(=O)c2nccn2C)cc1Cc1cc(-c2cn(C)c3ccccc23)c2cccnc2c1, ,
CHEMBL4553484_synthetic_inactive,IC50,'=',99000.03473983558,nM,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Cc1cc(C)cc(-c2cn(C)c3ccc(F)cc23)c1, ,
CHEMBL4579805_synthetic_inactive,IC50,'=',14013.446419062617,nM,CCC/C=C\C(=O)Nc1cc(Cc2cc(C)cc(-c3cn(C)c4ccc(F)cc34)c2)c(OC)cc1N(C)CCN(C)C, ,
CHEMBL4583545_synthetic_inactive,IC50,'=',48788.93074657109,nM,C=C(Cl)C(=O)Nc1cc(Cc2cc3c(c(-c4cn(C)c5ccccc45)c2)CS(=O)(=O)CC3)c(OC)cc1N(C)CCN(C)C, ,
CHEMBL4445761_synthetic_inactive,IC50,'=',80963.39845768554,nM,CC/C=C\C(=O)Nc1cc(Cc2cc(C)cc(-c3cn(C)c4ccc(F)cc34)c2)c(OC)cc1N(C)CCN(C)C, ,
CHEMBL4282543_synthetic_inactive,IC50,'=',92933.29030146774,nM,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1OCCN1CCN(C)CC1, ,
CHEMBL4279227_synthetic_inactive,IC50,'=',96719.27966613932,nM,C=C=CC(=O)Nc1cc(Cc2cccc(-c3c[nH]c4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, ,
CHEMBL4282954_synthetic_inactive,IC50,'=',50660.58224437344,nM,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N1CCOCC1, ,
CHEMBL4287401_synthetic_inactive,IC50,'=',30961.48028243898,nM,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1OCCN1CCOCC1, ,
CHEMBL4294211_synthetic_inactive,IC50,'=',76863.2360764822,nM,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N1CCC(N2CCOCC2)CC1, ,
CHEMBL4293145_synthetic_inactive,IC50,'=',79677.74803247998,nM,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1O[C@H]1CCOC1, ,
CHEMBL4279016_synthetic_inactive,IC50,'=',61944.14695994499,nM,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N1CCC(N2CCN(C)CC2)CC1, ,
CHEMBL4293734_synthetic_inactive,IC50,'=',82371.7865054953,nM,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(OC)cc1N1CCC(N(C)C)CC1, ,
CHEMBL4278815_synthetic_inactive,IC50,'=',22906.85675607256,nM,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cnn4ccccc34)c2)c(OC)cc1N(C)CCN(C)C, ,
CHEMBL4282523_synthetic_inactive,IC50,'=',84279.81012373183,nM,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)ccc1N(C)CCN(C)C, ,
CHEMBL4280993_synthetic_inactive,IC50,'=',35943.6857845566,nM,C=C=CC(=O)Nc1cc(Cc2cccc(-c3cn(C)c4ccccc34)c2)c(C)cc1N(C)CCN(C)C, ,
CHEMBL2029438_synthetic_inactive,IC50,'=',17824.615673178236,nM,C=CC(=O)Nc1cccc(N2C(=O)N(Cc3ccccc3)Cc3ccc(Cc4ccc(N5CCN(C)CC5)cc4OC)cc32)c1, ,
CHEMBL5187169_synthetic_inactive,IC50,'=',15992.146478586788,nM,C=CC(=O)Nc1cccc(Nc2cc(Cc3ccc(SCC(=O)N4CCOCC4)cc3)ccc2Cl)c1, ,
CHEMBL3954684_synthetic_inactive,IC50,'=',58297.1231256969,nM,C=CC(=O)Nc1cccc(Nc2cc(Cc3ccc(OC)cc3OC)ccc2C(F)(F)F)c1, ,
CHEMBL3956465_synthetic_inactive,IC50,'=',71465.23220865818,nM,C=CC(=O)Nc1cccc(Nc2cc(Cc3ccc(OC)c(OC)c3OC)ccc2C(F)(F)F)c1, ,
CHEMBL5196024_synthetic_inactive,IC50,'=',93323.48823173114,nM,C=CC(=O)Nc1cccc(Nc2cc(Cc3ccc(SCCCN4CCOCC4)cc3)ccc2Cl)c1, ,
CHEMBL5196498_synthetic_inactive,IC50,'=',98794.86004534629,nM,C=CC(=O)Nc1cccc(Nc2cc(Cc3ccc(N4CCN(C(=O)CCCC(=O)Nc5cccc6c5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)cc3OC)ccc2C(F)(F)F)c1, ,
CHEMBL3986363_synthetic_inactive,IC50,'=',53454.48118037023,nM,C=CC(=O)Nc1cccc(Nc2cc(Cc3ccc(OC)c(OC)c3OC)ccc2Cl)c1, ,
CHEMBL3954273_synthetic_inactive,IC50,'=',92403.36563019936,nM,C=CC(=O)Nc1cccc(Nc2cc(Cc3ccc(OC)c(OC)c3OC)ccc2Br)c1, ,
CHEMBL3910422_synthetic_inactive,IC50,'=',33343.83333746657,nM,C=CC(=O)Nc1cccc(Nc2cc(Cc3ccc(OC)cc3OC)ccc2Br)c1, ,
CHEMBL5204954_synthetic_inactive,IC50,'=',25751.051064005595,nM,C=CC(=O)Nc1cccc(Nc2cc(Cc3ccc(N4CCN(CC(=O)NCCNc5cccc6c5C(=O)N(C5CCC(=O)N(C)C5=O)C6=O)CC4)cc3OC)ccc2C(F)(F)F)c1, ,
CHEMBL3938358_synthetic_inactive,IC50,'=',76170.75843319605,nM,C=CC(=O)Nc1cccc(Nc2cc(Cc3ccc(OC)cc3OC)ccc2Cl)c1, ,
CHEMBL3954906_synthetic_inactive,IC50,'=',16749.720481891978,nM,C=CC(=O)Nc1cccc(Nc2cc(Cc3ccccc3OC)ccc2Br)c1, ,
CHEMBL3903641_synthetic_inactive,IC50,'=',15549.054335420244,nM,C=CC(=O)Nc1cccc(Nc2cc(Cc3ccccc3OC)ccc2C(F)(F)F)c1, ,
CHEMBL3891187_synthetic_inactive,IC50,'=',24619.19736918417,nM,C=CC(=O)Nc1cccc(Nc2cc(Cc3cccc(OC)c3OC)ccc2C(F)(F)F)c1, ,
CHEMBL3903707_synthetic_inactive,IC50,'=',87588.06844527535,nM,C=CC(=O)Nc1cccc(Nc2cc(Cc3ccccc3OC)ccc2Cl)c1, ,
CHEMBL3919271_synthetic_inactive,IC50,'=',27404.71137000381,nM,C=CC(=O)Nc1cccc(Nc2cc(Cc3cccc(OC)c3OC)ccc2Cl)c1, ,
CHEMBL5179538_synthetic_inactive,IC50,'=',89556.63533235092,nM,C=CC(=O)Nc1cccc(Nc2cc(Cc3ccc(N4CCN(CC(=O)NCCNc5cccc6c5CN(C5CCC(=O)NC5=O)C6=O)CC4)cc3OC)ccc2C(F)(F)F)c1, ,
CHEMBL4862351_synthetic_inactive,IC50,'=',63356.34569723254,nM,CCOC(=O)c1ccccc1Nc1cc(Cc2ccc(OCC(=O)N3CCOCC3)cc2)ccc1Cl, ,
CHEMBL4875985_synthetic_inactive,IC50,'=',23498.54187011912,nM,O=C(NO)c1ccccc1Nc1cc(Cc2ccc(OCCN3CCOCC3)cc2)ccc1Cl, ,
CHEMBL4862976_synthetic_inactive,IC50,'=',10978.67176582383,nM,CNC(=O)c1ccccc1Nc1cc(Cc2ccc(NC(=O)CN3CCOCC3)c(C)c2)ccc1Cl, ,
CHEMBL4869024_synthetic_inactive,IC50,'=',45270.13497853866,nM,CN1CCN(CCOc2ccc(Cc3ccc(Cl)c(Nc4ccccc4C(=O)NO)c3)cc2)CC1, ,
CHEMBL4208811_synthetic_inactive,Ki,'=',30732.091358921625,nM,C=CC(=O)N[C@H]1CCC(c2cc(Nc3ccc(N4CCN(C)CC4)cc3)c3ncn(C(C)C)c3c2)C1, ,
CHEMBL5188568_synthetic_inactive,IC50,'=',21657.259187247782,nM,C=CC(=O)N1CCC(N2C(=O)N(c3ccccc3)Cc3ccc(Cc4ccc(N5CCN(C)CC5)c(C)c4)cc32)C1, ,
CHEMBL4858409_synthetic_inactive,IC50,'=',98045.15461318228,nM,O=C(NO)c1ccccc1Nc1cc(Cc2ccc(OCC(=O)N3CCOCC3)cc2)ccc1Cl, ,
CHEMBL5268573_synthetic_inactive,Ki,'=',30178.84885553255,nM,COC1CCC(c2cccc(Nc3cc4c(cn3)c(C(N)=O)nn4C(C)C)c2)CC1, ,
CHEMBL4206312_synthetic_inactive,Ki,'=',42277.49777434248,nM,C=CC(=O)N1CC[C@@H](Cc2cc(Nc3ccc(N4CCN(C)CC4)cc3)c3ncn(C(C)C)c3c2)C1, ,
CHEMBL4858535_synthetic_inactive,IC50,'=',10882.153704821234,nM,CNC(=O)c1ccccc1Nc1cc(Cc2ccc(OCCCN3CCC(C(=O)NO)CC3)cc2)ccc1Cl, ,
CHEMBL4871985_synthetic_inactive,IC50,'=',64505.04292790768,nM,CNC(=O)c1ccccc1Nc1cc(Cc2ccc(N3CCC(C(=O)NO)CC3)cc2)ccc1Cl, ,
CHEMBL4870560_synthetic_inactive,IC50,'=',98021.25971542302,nM,O=C(NO)c1ccccc1Nc1cc(Cc2ccc(OCCCN3CCOCC3)cc2)ccc1Cl, ,
CHEMBL4851795_synthetic_inactive,IC50,'=',12156.218331782518,nM,O=C(COc1ccc(Cc2ccc(Cl)c(Nc3ccccc3C(=O)NO)c2)cc1)NO, ,
CHEMBL4861707_synthetic_inactive,IC50,'=',10430.779815113245,nM,CN1CCN(c2ccc(Cc3ccc(Cl)c(Nc4ccccc4C(=O)NO)c3)cc2)CC1, ,
CHEMBL4858714_synthetic_inactive,IC50,'=',96384.5521706034,nM,O=C(NO)c1ccccc1Nc1cc(Cc2ccc(CN3CCOCC3)cc2)ccc1Cl, ,
